id,time,magnitude,magtype,depth,latitude,longitude,distance,trigger_index
usp0003v2e,1989-05-09 02:30:37.860000+00:00,5.0,mw,23.3,28.071,-16.156,178.07,56.311
usp0004pbd,1991-03-21 13:31:56.450000+00:00,4.7,mb,10.0,27.304,-18.585,161.933,72.333
usp000bwq4,2003-05-06 06:29:57.890000+00:00,4.2,mblg,21.3,27.72,-18.107,102.156,81.145
usp000fpye,2007-10-05 17:31:59.140000+00:00,4.6,mb,26.1,27.548,-17.265,132.418,66.366
us2013ngb8,2013-03-27 15:07:56+00:00,4.6,mb,19.0,27.716,-18.263,107.157,53.706
usp000jzz9,2013-03-29 09:41:48.670000+00:00,4.1,mb,17.0,27.692,-18.249,109.172,97.299
usb000fvqw,2013-03-29 17:01:20.480000+00:00,4.7,mb,10.0,27.591,-18.283,120.885,53.997
usb000g5kk,2013-04-11 15:26:36.130000+00:00,4.1,mblg,18.8,27.73,-18.274,106.109,94.569
usc000lst3,2013-12-27 17:46:03.420000+00:00,5.4,mb,7.48,27.7975,-18.2868,99.698,19.892
us70005lmr,2019-09-26 13:02:08.806000+00:00,4.8,mb,10.0,27.9754,-20.1771,237.368,94.498
us7000fpu4,2021-10-26 16:25:33.055000+00:00,4.6,mb,10.0,28.4947,-17.8688,13.147,6.589
us7000ft4n,2021-11-11 03:37:55.185000+00:00,4.3,mb,35.0,28.5877,-17.9297,6.813,4.823
us7000fv4s,2021-11-13 06:55:57.402000+00:00,4.2,mb,10.0,28.6606,-17.8628,5.333,4.236
us7000fvbu,2021-11-19 01:08:43.667000+00:00,4.2,mb,35.0,28.558,-17.8204,7.56,6.005
us7000fxa4,2021-11-23 01:03:24.298000+00:00,4.6,mb,10.0,28.696,-17.6878,19.729,9.888
